,_id,_index,_score,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
149,5a337d08-f978-4b18-9f7d-c601d6cc4dd8,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-03T00:40:48.538373895Z,sensor
150,659983ff-a8ba-47ed-ac82-09e37f970bbe,coffee_sensors,1.0,aws-dev-01,74.0,13.0,2018-09-03T02:04:35.951211377Z,sensor
151,2c41807b-c07e-4f84-8b64-c045830caad1,coffee_sensors,1.0,aws-dev-01,77.0,13.0,2018-09-03T02:23:55.461539217Z,sensor
152,4cf279a6-f136-431c-8dcd-95a551fb14c8,coffee_sensors,1.0,aws-dev-01,79.0,13.0,2018-09-03T03:30:37.17402531Z,sensor
153,440dbd30-47a4-4f4a-a804-dd63fb8c9553,coffee_sensors,1.0,aws-dev-01,,,2018-09-03T04:01:23.241680082Z,sensor
154,71f52ee4-cf41-47c5-b6ee-5373705b0f0c,coffee_sensors,1.0,aws-dev-01,77.0,13.0,2018-09-03T04:27:06.483469743Z,sensor
155,cba542bd-ed08-418a-83cc-2043d4bb5001,coffee_sensors,1.0,aws-dev-01,76.0,13.0,2018-09-03T04:42:25.152252268Z,sensor
156,eaaf20fe-c646-4d37-b0b1-0cad194250c3,coffee_sensors,1.0,aws-dev-01,64.0,16.0,2018-09-03T16:53:21.627822651Z,sensor
157,fb4acd70-f29a-4af0-a7ba-a38ea0affa4f,coffee_sensors,1.0,aws-dev-01,64.0,16.0,2018-09-03T16:58:27.843848986Z,sensor
158,924b169b-b9a4-4682-a1c1-f1d3e0d0bcb9,coffee_sensors,1.0,aws-dev-01,64.0,15.0,2018-09-03T17:13:46.796830112Z,sensor
159,085fab74-91a4-425c-9018-6b95d73e2e34,coffee_sensors,1.0,aws-dev-01,67.0,14.0,2018-09-03T17:34:17.283704966Z,sensor
160,5a99bc8f-f783-40db-be5b-8ead99d637a9,coffee_sensors,1.0,aws-dev-01,67.0,14.0,2018-09-03T17:44:29.707143321Z,sensor
161,d730287b-43dc-4801-8ddf-818baea51c34,coffee_sensors,1.0,aws-dev-01,77.0,13.0,2018-09-03T04:22:00.26788917Z,sensor
162,bcecea24-20ef-4757-9836-d4d7cf1d3870,coffee_sensors,1.0,aws-dev-01,,,2018-09-03T16:43:06.004369049Z,sensor
163,0438bd0e-a424-4162-baad-3512798a0e8e,coffee_sensors,1.0,aws-dev-01,68.0,15.0,2018-09-03T18:20:22.175756286Z,sensor
164,10e33912-e605-471c-acbd-8ec4948928fe,coffee_sensors,1.0,aws-dev-01,69.0,15.0,2018-09-03T18:35:40.813528694Z,sensor
165,e5046ba2-422e-4221-9cc8-4dd037b519c1,coffee_sensors,1.0,aws-dev-01,68.0,14.0,2018-09-03T18:45:53.217189565Z,sensor
166,a37063b4-f332-4e37-8350-142f9765cfed,coffee_sensors,1.0,aws-dev-01,95.0,18.0,2018-09-06T14:54:52.463335338Z,sensor
167,e902251c-6036-4007-9ef7-745530e527f8,coffee_sensors,1.0,aws-dev-01,41.0,20.0,2018-09-07T15:10:19.791357012Z,sensor
168,7aae3c24-ac7b-4541-8ccb-bbe13091e909,coffee_sensors,1.0,aws-dev-01,41.0,20.0,2018-09-07T15:11:29.910297611Z,sensor
169,f5c1eede-92db-4a08-a906-aae74d4062d8,coffee_sensors,1.0,aws-dev-01,41.0,20.0,2018-09-07T15:13:24.150820396Z,sensor
170,52da13ae-48d7-45b5-aaa9-d549cf5d47bc,coffee_sensors,1.0,aws-dev-01,69.0,15.0,2018-09-03T18:05:03.62515839Z,sensor
171,61fc4590-58c4-44ea-b758-23c27a68ae5e,coffee_sensors,1.0,aws-dev-01,,,2018-09-03T18:51:08.217274927Z,sensor
172,22984acb-ac55-4d13-ba6e-43e080b0db37,coffee_sensors,1.0,aws-dev-01,42.0,20.0,2018-09-07T15:54:26.428119427Z,sensor
